銘柄コード,銘柄名,市場区分,日経225採否,前日終値,時価総額,平均取引量,PBR,PER
8952,ジャパンリアルエステイト投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,128900.0,921304432640.0,17431.0,0.34734386,17.502697
8953,日本都市ファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,112600.0,812787499008.0,18134.0,1.2544622,22.501175
8954,オリックス不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,97300.0,545376010240.0,14430.0,0.77844137,24.176577
8955,日本プライムリアルティ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,102700.0,413629218816.0,8081.0,1.4960302,21.575579
8956,ＮＴＴ都市開発リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,135500.0,199240171520.0,3069.0,1.3592305,22.50508
8957,東急リアル・エステート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,199300.0,195422240768.0,2916.0,1.691572,20.68063
8958,グローバル・ワン不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,146200.0,146596675584.0,3076.0,1.4586345,22.313421
8960,ユナイテッド・アーバン投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,178000.0,546061582336.0,8542.0,1.5246376,22.40907
8961,森トラストリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,75300.0,269136003072.0,6724.0,1.1486175,18.696165
8963,インヴィンシブル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,65700.0,500077821952.0,30730.0,1.4232519,16.786404
8964,フロンティア不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,88100.0,238581006336.0,6843.0,1.3588144,19.252596
8966,平和不動産リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,148900.0,186728284160.0,2902.0,1.5673853,19.532452
8967,日本ロジスティクスファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,95100.0,263510065152.0,6114.0,1.8710041,24.769249
8968,福岡リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,181900.0,159401607168.0,1934.0,1.4057941,23.26268
8972,ＫＤＸ不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,168600.0,679797391360.0,9492.0,0.31222448,14.039672
8975,いちごオフィスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,97100.0,150361735168.0,3813.0,1.4288338,16.219553
